,CustomerID,Recency,Frequency,Monetary,cluster,R_Quartile,F_Quartile,M_Quartile,RFMScore
1,12346.0,325,2,0.0,0,4,4,4,444
2,12347.0,2,182,4309.999999999997,0,1,1,1,111
3,12348.0,75,31,1797.24,0,3,3,1,331
4,12349.0,18,73,1757.55,0,2,2,1,221
5,12350.0,310,17,334.40000000000003,0,4,4,3,443
6,12352.0,36,95,1545.4100000000005,0,2,2,2,222
7,12353.0,204,4,89.0,0,4,4,4,444
8,12354.0,232,58,1079.4,0,4,2,2,422
9,12355.0,214,13,459.4,0,4,4,3,443
10,12356.0,22,59,2811.4300000000007,0,2,2,1,221
11,12357.0,33,131,6207.669999999996,0,2,1,1,211
12,12358.0,1,19,1168.06,0,1,3,2,132
13,12359.0,7,254,6245.530000000006,0,1,1,1,111
14,12360.0,52,129,2662.0600000000004,0,3,1,1,311
15,12361.0,287,10,189.89999999999998,0,4,4,4,444
16,12362.0,3,274,5154.580000000002,0,1,1,1,111
17,12363.0,109,23,552.0,0,3,3,3,333
18,12364.0,7,85,1313.1000000000001,0,1,2,2,122
19,12365.0,291,23,320.69,0,4,3,3,433
20,12367.0,4,11,168.9,0,1,4,4,144
21,12370.0,51,167,3545.689999999998,0,3,1,1,311
22,12371.0,44,63,1887.9600000000003,0,2,2,1,221
23,12372.0,71,52,1298.0400000000002,0,3,2,2,322
24,12373.0,311,14,364.6,0,4,4,3,443
25,12374.0,25,33,742.93,0,2,3,2,232
26,12375.0,2,18,455.42000000000013,0,1,3,3,133
27,12377.0,315,77,1628.1199999999997,0,4,2,1,421
28,12378.0,129,219,4008.6200000000013,0,3,1,1,311
29,12379.0,81,41,850.2899999999996,0,3,3,2,332
30,12380.0,21,105,2720.56,0,2,1,1,211
31,12381.0,4,91,1803.9600000000005,0,1,2,1,121
32,12383.0,184,100,1839.3099999999997,0,4,2,1,421
33,12384.0,28,30,566.16,0,2,3,3,233
34,12386.0,337,10,401.90000000000003,0,4,4,3,443
35,12388.0,15,100,2780.6600000000003,0,1,2,1,121
36,12390.0,79,32,549.8399999999999,0,3,3,3,333
37,12391.0,21,100,460.88999999999993,0,2,2,3,223
38,12393.0,72,64,1582.6000000000004,0,3,2,2,322
39,12394.0,63,27,1272.48,0,3,3,2,332
40,12395.0,15,159,2998.279999999999,0,1,1,1,111
41,12397.0,35,126,2409.9000000000005,0,2,1,1,211
42,12398.0,45,85,1635.6599999999999,0,2,2,1,221
43,12399.0,119,59,1108.65,0,3,2,2,322
44,12401.0,303,5,84.3,0,4,4,4,444
45,12402.0,323,11,225.6,0,4,4,4,444
46,12403.0,49,6,409.7,0,2,4,3,243
47,12405.0,148,54,1710.3900000000006,0,4,2,1,421
48,12406.0,22,108,3280.7500000000014,0,2,1,1,211
49,12407.0,49,77,1708.1199999999997,0,2,2,1,221
50,12408.0,32,113,2842.57,0,2,1,1,211
51,12409.0,78,114,11056.930000000004,0,3,1,1,311
52,12410.0,301,28,681.0799999999999,0,4,3,2,432
53,12412.0,74,61,1226.8799999999999,0,3,2,2,322
54,12413.0,66,40,694.15,0,3,3,2,332
55,12414.0,217,18,562.41,0,4,3,3,433
56,12415.0,24,778,123725.44999999987,2,2,1,1,211
57,12417.0,3,198,3578.8,0,1,1,1,111
58,12418.0,112,34,668.5799999999997,0,3,3,2,332
59,12420.0,63,29,600.3900000000001,0,3,3,3,333
60,12421.0,15,46,806.2700000000002,0,1,2,2,122
61,12422.0,95,39,803.5599999999998,0,3,3,2,332
62,12423.0,0,126,1849.1100000000001,0,1,1,1,111
63,12424.0,162,30,1760.9599999999998,0,4,3,1,431
64,12425.0,78,36,777.1999999999999,0,3,3,2,332
65,12426.0,194,30,582.7299999999999,0,4,3,3,433
66,12427.0,11,35,708.3700000000001,0,1,3,2,132
67,12428.0,25,300,7877.200000000004,0,2,1,1,211
68,12429.0,9,97,3750.400000000001,0,1,2,1,121
69,12430.0,43,11,256.4,0,2,4,4,244
70,12431.0,35,240,6416.389999999999,0,2,1,1,211
